xi,theta,phi
0,1,0
0.000100,1.000000,-0.000175
0.001100,0.999999,-0.000644
0.002100,0.999998,-0.001007
0.003100,0.999997,-0.001352
0.004100,0.999996,-0.001690
0.005100,0.999994,-0.002027
0.006100,0.999992,-0.002362
0.007100,0.999989,-0.002696
0.008100,0.999986,-0.003030
0.009100,0.999983,-0.003364
0.010100,0.999979,-0.003698
0.011100,0.999976,-0.004031
0.012100,0.999971,-0.004365
0.013100,0.999967,-0.004698
0.014100,0.999962,-0.005032
0.015100,0.999957,-0.005365
0.016100,0.999951,-0.005698
0.017100,0.999945,-0.006032
0.018100,0.999939,-0.006365
0.019100,0.999933,-0.006698
0.020100,0.999926,-0.007031
0.021100,0.999919,-0.007365
0.022100,0.999911,-0.007698
0.023100,0.999903,-0.008031
0.024100,0.999895,-0.008364
0.025100,0.999886,-0.008697
0.026100,0.999878,-0.009030
0.027100,0.999868,-0.009363
0.028100,0.999859,-0.009696
0.029100,0.999849,-0.010029
0.030100,0.999839,-0.010362
0.031100,0.999828,-0.010695
0.032100,0.999817,-0.011028
0.033100,0.999806,-0.011361
0.034100,0.999795,-0.011693
0.035100,0.999783,-0.012026
0.036100,0.999771,-0.012359
0.037100,0.999758,-0.012692
0.038100,0.999745,-0.013024
0.039100,0.999732,-0.013357
0.040100,0.999719,-0.013689
0.041100,0.999705,-0.014022
0.042100,0.999691,-0.014355
0.043100,0.999676,-0.014687
0.044100,0.999661,-0.015019
0.045100,0.999646,-0.015352
0.046100,0.999630,-0.015684
0.047100,0.999615,-0.016017
0.048100,0.999598,-0.016349
0.049100,0.999582,-0.016681
0.050100,0.999565,-0.017013
0.051100,0.999548,-0.017345
0.052100,0.999530,-0.017677
0.053100,0.999513,-0.018010
0.054100,0.999494,-0.018342
0.055100,0.999476,-0.018673
0.056100,0.999457,-0.019005
0.057100,0.999438,-0.019337
0.058100,0.999418,-0.019669
0.059100,0.999398,-0.020001
0.060100,0.999378,-0.020332
0.061100,0.999358,-0.020664
0.062100,0.999337,-0.020996
0.063100,0.999316,-0.021327
0.064100,0.999294,-0.021659
0.065100,0.999273,-0.021990
0.066100,0.999250,-0.022321
0.067100,0.999228,-0.022653
0.068100,0.999205,-0.022984
0.069100,0.999182,-0.023315
0.070100,0.999158,-0.023646
0.071100,0.999135,-0.023977
0.072100,0.999110,-0.024308
0.073100,0.999086,-0.024639
0.074100,0.999061,-0.024970
0.075100,0.999036,-0.025301
0.076100,0.999011,-0.025631
0.077100,0.998985,-0.025962
0.078100,0.998959,-0.026293
0.079100,0.998932,-0.026623
0.080100,0.998905,-0.026953
0.081100,0.998878,-0.027284
0.082100,0.998851,-0.027614
0.083100,0.998823,-0.027944
0.084100,0.998795,-0.028274
0.085100,0.998767,-0.028604
0.086100,0.998738,-0.028934
0.087100,0.998709,-0.029264
0.088100,0.998679,-0.029594
0.089100,0.998649,-0.029924
0.090100,0.998619,-0.030254
0.091100,0.998589,-0.030583
0.092100,0.998558,-0.030913
0.093100,0.998527,-0.031242
0.094100,0.998496,-0.031571
0.095100,0.998464,-0.031901
0.096100,0.998432,-0.032230
0.097100,0.998400,-0.032559
0.098100,0.998367,-0.032888
0.099100,0.998334,-0.033217
0.100100,0.998300,-0.033546
0.101100,0.998267,-0.033874
0.102100,0.998233,-0.034203
0.103100,0.998198,-0.034531
0.104100,0.998164,-0.034860
0.105100,0.998129,-0.035188
0.106100,0.998093,-0.035516
0.107100,0.998058,-0.035845
0.108100,0.998021,-0.036173
0.109100,0.997985,-0.036501
0.110100,0.997948,-0.036829
0.111100,0.997912,-0.037156
0.112100,0.997874,-0.037484
0.113100,0.997837,-0.037812
0.114100,0.997799,-0.038139
0.115100,0.997760,-0.038466
0.116100,0.997722,-0.038794
0.117100,0.997683,-0.039121
0.118100,0.997643,-0.039448
0.119100,0.997604,-0.039775
0.120100,0.997564,-0.040102
0.121100,0.997524,-0.040428
0.122100,0.997483,-0.040755
0.123100,0.997442,-0.041082
0.124100,0.997401,-0.041408
0.125100,0.997359,-0.041734
0.126100,0.997317,-0.042060
0.127100,0.997275,-0.042387
0.128100,0.997233,-0.042713
0.129100,0.997190,-0.043038
0.130100,0.997146,-0.043364
0.131100,0.997103,-0.043690
0.132100,0.997059,-0.044015
0.133100,0.997015,-0.044341
0.134100,0.996970,-0.044666
0.135100,0.996926,-0.044991
0.136100,0.996880,-0.045316
0.137100,0.996835,-0.045641
0.138100,0.996789,-0.045966
0.139100,0.996743,-0.046290
0.140100,0.996697,-0.046615
0.141100,0.996650,-0.046939
0.142100,0.996603,-0.047264
0.143100,0.996555,-0.047588
0.144100,0.996508,-0.047912
0.145100,0.996459,-0.048236
0.146100,0.996411,-0.048560
0.147100,0.996362,-0.048883
0.148100,0.996313,-0.049207
0.149100,0.996264,-0.049530
0.150100,0.996214,-0.049854
0.151100,0.996164,-0.050177
0.152100,0.996114,-0.050500
0.153100,0.996063,-0.050823
0.154100,0.996012,-0.051145
0.155100,0.995961,-0.051468
0.156100,0.995909,-0.051790
0.157100,0.995857,-0.052113
0.158100,0.995805,-0.052435
0.159100,0.995752,-0.052757
0.160100,0.995700,-0.053079
0.161100,0.995646,-0.053401
0.162100,0.995593,-0.053722
0.163100,0.995539,-0.054044
0.164100,0.995485,-0.054365
0.165100,0.995430,-0.054686
0.166100,0.995375,-0.055007
0.167100,0.995320,-0.055328
0.168100,0.995265,-0.055649
0.169100,0.995209,-0.055970
0.170100,0.995153,-0.056290
0.171100,0.995096,-0.056610
0.172100,0.995039,-0.056931
0.173100,0.994982,-0.057251
0.174100,0.994925,-0.057570
0.175100,0.994867,-0.057890
0.176100,0.994809,-0.058210
0.177100,0.994751,-0.058529
0.178100,0.994692,-0.058848
0.179100,0.994633,-0.059167
0.180100,0.994574,-0.059486
0.181100,0.994514,-0.059805
0.182100,0.994454,-0.060124
0.183100,0.994394,-0.060442
0.184100,0.994333,-0.060761
0.185100,0.994272,-0.061079
0.186100,0.994211,-0.061397
0.187100,0.994150,-0.061715
0.188100,0.994088,-0.062032
0.189100,0.994026,-0.062350
0.190100,0.993963,-0.062667
0.191100,0.993900,-0.062984
0.192100,0.993837,-0.063301
0.193100,0.993774,-0.063618
0.194100,0.993710,-0.063935
0.195100,0.993646,-0.064251
0.196100,0.993581,-0.064568
0.197100,0.993517,-0.064884
0.198100,0.993452,-0.065200
0.199100,0.993386,-0.065516
0.200100,0.993321,-0.065831
0.201100,0.993255,-0.066147
0.202100,0.993188,-0.066462
0.203100,0.993122,-0.066777
0.204100,0.993055,-0.067092
0.205100,0.992987,-0.067407
0.206100,0.992920,-0.067722
0.207100,0.992852,-0.068036
0.208100,0.992784,-0.068350
0.209100,0.992715,-0.068665
0.210100,0.992646,-0.068978
0.211100,0.992577,-0.069292
0.212100,0.992508,-0.069606
0.213100,0.992438,-0.069919
0.214100,0.992368,-0.070232
0.215100,0.992298,-0.070545
0.216100,0.992227,-0.070858
0.217100,0.992156,-0.071171
0.218100,0.992085,-0.071483
