xi,theta,phi
0,1,0
0.000100,1.000000,-0.000175
0.001100,0.999999,-0.000644
0.002100,0.999998,-0.001007
0.003100,0.999997,-0.001352
0.004100,0.999996,-0.001690
0.005100,0.999994,-0.002027
0.006100,0.999992,-0.002362
0.007100,0.999989,-0.002696
0.008100,0.999986,-0.003030
0.009100,0.999983,-0.003364
0.010100,0.999979,-0.003698
0.011100,0.999976,-0.004032
0.012100,0.999971,-0.004365
0.013100,0.999967,-0.004699
0.014100,0.999962,-0.005032
0.015100,0.999957,-0.005365
0.016100,0.999951,-0.005699
0.017100,0.999945,-0.006032
0.018100,0.999939,-0.006366
0.019100,0.999933,-0.006699
0.020100,0.999926,-0.007032
0.021100,0.999919,-0.007365
0.022100,0.999911,-0.007699
0.023100,0.999903,-0.008032
0.024100,0.999895,-0.008365
0.025100,0.999886,-0.008698
0.026100,0.999878,-0.009032
0.027100,0.999868,-0.009365
0.028100,0.999859,-0.009698
0.029100,0.999849,-0.010031
0.030100,0.999839,-0.010364
0.031100,0.999828,-0.010698
0.032100,0.999817,-0.011031
0.033100,0.999806,-0.011364
0.034100,0.999795,-0.011697
0.035100,0.999783,-0.012030
0.036100,0.999771,-0.012363
0.037100,0.999758,-0.012696
0.038100,0.999745,-0.013029
0.039100,0.999732,-0.013362
0.040100,0.999719,-0.013695
0.041100,0.999705,-0.014028
0.042100,0.999690,-0.014361
0.043100,0.999676,-0.014694
0.044100,0.999661,-0.015027
0.045100,0.999646,-0.015360
0.046100,0.999630,-0.015693
0.047100,0.999614,-0.016026
0.048100,0.999598,-0.016359
0.049100,0.999582,-0.016692
0.050100,0.999565,-0.017024
0.051100,0.999548,-0.017357
0.052100,0.999530,-0.017690
0.053100,0.999512,-0.018023
0.054100,0.999494,-0.018355
0.055100,0.999476,-0.018688
0.056100,0.999457,-0.019021
0.057100,0.999438,-0.019354
0.058100,0.999418,-0.019686
0.059100,0.999398,-0.020019
0.060100,0.999378,-0.020351
0.061100,0.999358,-0.020684
0.062100,0.999337,-0.021017
0.063100,0.999315,-0.021349
0.064100,0.999294,-0.021682
0.065100,0.999272,-0.022014
0.066100,0.999250,-0.022346
0.067100,0.999227,-0.022679
0.068100,0.999205,-0.023011
0.069100,0.999181,-0.023344
0.070100,0.999158,-0.023676
0.071100,0.999134,-0.024008
0.072100,0.999110,-0.024341
0.073100,0.999085,-0.024673
0.074100,0.999061,-0.025005
0.075100,0.999035,-0.025337
0.076100,0.999010,-0.025669
0.077100,0.998984,-0.026002
0.078100,0.998958,-0.026334
0.079100,0.998931,-0.026666
0.080100,0.998905,-0.026998
0.081100,0.998877,-0.027330
0.082100,0.998850,-0.027662
0.083100,0.998822,-0.027994
0.084100,0.998794,-0.028326
0.085100,0.998765,-0.028657
0.086100,0.998737,-0.028989
0.087100,0.998707,-0.029321
0.088100,0.998678,-0.029653
0.089100,0.998648,-0.029985
0.090100,0.998618,-0.030316
0.091100,0.998587,-0.030648
0.092100,0.998557,-0.030980
0.093100,0.998526,-0.031311
0.094100,0.998494,-0.031643
0.095100,0.998462,-0.031974
0.096100,0.998430,-0.032306
0.097100,0.998398,-0.032637
0.098100,0.998365,-0.032969
0.099100,0.998332,-0.033300
0.100100,0.998298,-0.033631
0.101100,0.998264,-0.033962
0.102100,0.998230,-0.034294
0.103100,0.998196,-0.034625
0.104100,0.998161,-0.034956
0.105100,0.998126,-0.035287
0.106100,0.998090,-0.035618
0.107100,0.998055,-0.035949
0.108100,0.998019,-0.036280
0.109100,0.997982,-0.036611
0.110100,0.997945,-0.036942
0.111100,0.997908,-0.037273
0.112100,0.997871,-0.037604
0.113100,0.997833,-0.037934
0.114100,0.997795,-0.038265
0.115100,0.997756,-0.038596
0.116100,0.997718,-0.038926
0.117100,0.997679,-0.039257
0.118100,0.997639,-0.039588
0.119100,0.997599,-0.039918
0.120100,0.997559,-0.040248
0.121100,0.997519,-0.040579
0.122100,0.997478,-0.040909
0.123100,0.997437,-0.041239
0.124100,0.997396,-0.041570
0.125100,0.997354,-0.041900
0.126100,0.997312,-0.042230
0.127100,0.997270,-0.042560
0.128100,0.997227,-0.042890
0.129100,0.997184,-0.043220
0.130100,0.997140,-0.043550
0.131100,0.997097,-0.043880
0.132100,0.997053,-0.044210
0.133100,0.997008,-0.044540
0.134100,0.996964,-0.044869
0.135100,0.996919,-0.045199
0.136100,0.996873,-0.045529
0.137100,0.996827,-0.045858
0.138100,0.996781,-0.046188
0.139100,0.996735,-0.046517
0.140100,0.996688,-0.046847
0.141100,0.996641,-0.047176
0.142100,0.996594,-0.047505
0.143100,0.996546,-0.047834
0.144100,0.996498,-0.048164
0.145100,0.996450,-0.048493
0.146100,0.996401,-0.048822
0.147100,0.996352,-0.049151
0.148100,0.996303,-0.049480
0.149100,0.996253,-0.049809
0.150100,0.996203,-0.050137
0.151100,0.996153,-0.050466
0.152100,0.996103,-0.050795
0.153100,0.996052,-0.051123
0.154100,0.996000,-0.051452
0.155100,0.995949,-0.051781
0.156100,0.995897,-0.052109
0.157100,0.995844,-0.052437
0.158100,0.995792,-0.052766
0.159100,0.995739,-0.053094
0.160100,0.995686,-0.053422
0.161100,0.995632,-0.053750
0.162100,0.995578,-0.054078
0.163100,0.995524,-0.054406
0.164100,0.995469,-0.054734
0.165100,0.995414,-0.055062
0.166100,0.995359,-0.055390
0.167100,0.995304,-0.055718
0.168100,0.995248,-0.056046
0.169100,0.995192,-0.056373
0.170100,0.995135,-0.056701
0.171100,0.995078,-0.057028
0.172100,0.995021,-0.057356
0.173100,0.994963,-0.057683
0.174100,0.994906,-0.058010
0.175100,0.994847,-0.058337
0.176100,0.994789,-0.058665
0.177100,0.994730,-0.058992
0.178100,0.994671,-0.059319
0.179100,0.994611,-0.059646
0.180100,0.994552,-0.059972
0.181100,0.994492,-0.060299
0.182100,0.994431,-0.060626
0.183100,0.994370,-0.060953
0.184100,0.994309,-0.061279
0.185100,0.994248,-0.061606
0.186100,0.994186,-0.061932
0.187100,0.994124,-0.062258
0.188100,0.994061,-0.062585
0.189100,0.993999,-0.062911
0.190100,0.993936,-0.063237
0.191100,0.993872,-0.063563
0.192100,0.993808,-0.063889
0.193100,0.993744,-0.064215
0.194100,0.993680,-0.064541
0.195100,0.993615,-0.064866
0.196100,0.993550,-0.065192
0.197100,0.993485,-0.065518
0.198100,0.993419,-0.065843
0.199100,0.993353,-0.066169
0.200100,0.993287,-0.066494
0.201100,0.993220,-0.066819
0.202100,0.993153,-0.067144
0.203100,0.993086,-0.067470
0.204100,0.993018,-0.067795
0.205100,0.992950,-0.068120
0.206100,0.992882,-0.068444
0.207100,0.992814,-0.068769
0.208100,0.992745,-0.069094
0.209100,0.992675,-0.069419
0.210100,0.992606,-0.069743
0.211100,0.992536,-0.070068
0.212100,0.992466,-0.070392
0.213100,0.992395,-0.070716
0.214100,0.992324,-0.071041
0.215100,0.992253,-0.071365
0.216100,0.992181,-0.071689
0.217100,0.992110,-0.072013
0.218100,0.992037,-0.072337
