xi,theta,phi
0,1,0
0.000100,1.000000,-0.000175
0.001100,0.999999,-0.000644
0.002100,0.999998,-0.001007
0.003100,0.999997,-0.001352
0.004100,0.999996,-0.001690
0.005100,0.999994,-0.002027
0.006100,0.999992,-0.002362
0.007100,0.999989,-0.002696
0.008100,0.999986,-0.003030
0.009100,0.999983,-0.003364
0.010100,0.999979,-0.003698
0.011100,0.999976,-0.004032
0.012100,0.999971,-0.004365
0.013100,0.999967,-0.004699
0.014100,0.999962,-0.005032
0.015100,0.999957,-0.005365
0.016100,0.999951,-0.005699
0.017100,0.999945,-0.006032
0.018100,0.999939,-0.006366
0.019100,0.999933,-0.006699
0.020100,0.999926,-0.007032
0.021100,0.999919,-0.007366
0.022100,0.999911,-0.007699
0.023100,0.999903,-0.008032
0.024100,0.999895,-0.008365
0.025100,0.999886,-0.008699
0.026100,0.999878,-0.009032
0.027100,0.999868,-0.009365
0.028100,0.999859,-0.009698
0.029100,0.999849,-0.010031
0.030100,0.999839,-0.010365
0.031100,0.999828,-0.010698
0.032100,0.999817,-0.011031
0.033100,0.999806,-0.011364
0.034100,0.999795,-0.011697
0.035100,0.999783,-0.012030
0.036100,0.999771,-0.012364
0.037100,0.999758,-0.012697
0.038100,0.999745,-0.013030
0.039100,0.999732,-0.013363
0.040100,0.999719,-0.013696
0.041100,0.999705,-0.014029
0.042100,0.999690,-0.014362
0.043100,0.999676,-0.014695
0.044100,0.999661,-0.015028
0.045100,0.999646,-0.015361
0.046100,0.999630,-0.015694
0.047100,0.999614,-0.016027
0.048100,0.999598,-0.016360
0.049100,0.999582,-0.016693
0.050100,0.999565,-0.017025
0.051100,0.999548,-0.017358
0.052100,0.999530,-0.017691
0.053100,0.999512,-0.018024
0.054100,0.999494,-0.018357
0.055100,0.999476,-0.018690
0.056100,0.999457,-0.019022
0.057100,0.999438,-0.019355
0.058100,0.999418,-0.019688
0.059100,0.999398,-0.020021
0.060100,0.999378,-0.020353
0.061100,0.999357,-0.020686
0.062100,0.999337,-0.021019
0.063100,0.999315,-0.021351
0.064100,0.999294,-0.021684
0.065100,0.999272,-0.022016
0.066100,0.999250,-0.022349
0.067100,0.999227,-0.022682
0.068100,0.999205,-0.023014
0.069100,0.999181,-0.023347
0.070100,0.999158,-0.023679
0.071100,0.999134,-0.024011
0.072100,0.999110,-0.024344
0.073100,0.999085,-0.024676
0.074100,0.999060,-0.025009
0.075100,0.999035,-0.025341
0.076100,0.999010,-0.025673
0.077100,0.998984,-0.026006
0.078100,0.998958,-0.026338
0.079100,0.998931,-0.026670
0.080100,0.998904,-0.027002
0.081100,0.998877,-0.027334
0.082100,0.998850,-0.027667
0.083100,0.998822,-0.027999
0.084100,0.998794,-0.028331
0.085100,0.998765,-0.028663
0.086100,0.998736,-0.028995
0.087100,0.998707,-0.029327
0.088100,0.998678,-0.029659
0.089100,0.998648,-0.029991
0.090100,0.998618,-0.030323
0.091100,0.998587,-0.030654
0.092100,0.998556,-0.030986
0.093100,0.998525,-0.031318
0.094100,0.998494,-0.031650
0.095100,0.998462,-0.031982
0.096100,0.998430,-0.032313
0.097100,0.998397,-0.032645
0.098100,0.998365,-0.032977
0.099100,0.998331,-0.033308
0.100100,0.998298,-0.033640
0.101100,0.998264,-0.033971
0.102100,0.998230,-0.034303
0.103100,0.998196,-0.034634
0.104100,0.998161,-0.034966
0.105100,0.998126,-0.035297
0.106100,0.998090,-0.035628
0.107100,0.998054,-0.035960
0.108100,0.998018,-0.036291
0.109100,0.997982,-0.036622
0.110100,0.997945,-0.036953
0.111100,0.997908,-0.037285
0.112100,0.997870,-0.037616
0.113100,0.997833,-0.037947
0.114100,0.997795,-0.038278
0.115100,0.997756,-0.038609
0.116100,0.997717,-0.038940
0.117100,0.997678,-0.039271
0.118100,0.997639,-0.039602
0.119100,0.997599,-0.039932
0.120100,0.997559,-0.040263
0.121100,0.997519,-0.040594
0.122100,0.997478,-0.040925
0.123100,0.997437,-0.041255
0.124100,0.997395,-0.041586
0.125100,0.997353,-0.041917
0.126100,0.997311,-0.042247
0.127100,0.997269,-0.042578
0.128100,0.997226,-0.042908
0.129100,0.997183,-0.043238
0.130100,0.997140,-0.043569
0.131100,0.997096,-0.043899
0.132100,0.997052,-0.044229
0.133100,0.997008,-0.044560
0.134100,0.996963,-0.044890
0.135100,0.996918,-0.045220
0.136100,0.996872,-0.045550
0.137100,0.996827,-0.045880
0.138100,0.996781,-0.046210
0.139100,0.996734,-0.046540
0.140100,0.996688,-0.046870
0.141100,0.996641,-0.047200
0.142100,0.996593,-0.047529
0.143100,0.996545,-0.047859
0.144100,0.996497,-0.048189
0.145100,0.996449,-0.048518
0.146100,0.996400,-0.048848
0.147100,0.996351,-0.049178
0.148100,0.996302,-0.049507
0.149100,0.996252,-0.049837
0.150100,0.996202,-0.050166
0.151100,0.996152,-0.050495
0.152100,0.996101,-0.050825
0.153100,0.996050,-0.051154
0.154100,0.995999,-0.051483
0.155100,0.995947,-0.051812
0.156100,0.995895,-0.052141
0.157100,0.995843,-0.052470
0.158100,0.995791,-0.052799
0.159100,0.995738,-0.053128
0.160100,0.995684,-0.053457
0.161100,0.995631,-0.053786
0.162100,0.995577,-0.054114
0.163100,0.995522,-0.054443
0.164100,0.995468,-0.054772
0.165100,0.995413,-0.055100
0.166100,0.995358,-0.055429
0.167100,0.995302,-0.055757
0.168100,0.995246,-0.056085
0.169100,0.995190,-0.056414
0.170100,0.995133,-0.056742
0.171100,0.995076,-0.057070
0.172100,0.995019,-0.057398
0.173100,0.994962,-0.057726
0.174100,0.994904,-0.058055
0.175100,0.994845,-0.058382
0.176100,0.994787,-0.058710
0.177100,0.994728,-0.059038
0.178100,0.994669,-0.059366
0.179100,0.994609,-0.059694
0.180100,0.994549,-0.060021
0.181100,0.994489,-0.060349
0.182100,0.994429,-0.060677
0.183100,0.994368,-0.061004
0.184100,0.994307,-0.061331
0.185100,0.994245,-0.061659
0.186100,0.994183,-0.061986
0.187100,0.994121,-0.062313
0.188100,0.994059,-0.062640
0.189100,0.993996,-0.062967
0.190100,0.993933,-0.063294
0.191100,0.993869,-0.063621
0.192100,0.993806,-0.063948
0.193100,0.993742,-0.064275
0.194100,0.993677,-0.064602
0.195100,0.993612,-0.064929
0.196100,0.993547,-0.065255
0.197100,0.993482,-0.065582
0.198100,0.993416,-0.065908
0.199100,0.993350,-0.066235
0.200100,0.993284,-0.066561
0.201100,0.993217,-0.066887
0.202100,0.993150,-0.067213
0.203100,0.993082,-0.067540
0.204100,0.993015,-0.067866
0.205100,0.992947,-0.068192
0.206100,0.992878,-0.068518
0.207100,0.992810,-0.068843
0.208100,0.992741,-0.069169
0.209100,0.992671,-0.069495
0.210100,0.992602,-0.069821
0.211100,0.992532,-0.070146
0.212100,0.992461,-0.070472
0.213100,0.992391,-0.070797
0.214100,0.992320,-0.071122
0.215100,0.992248,-0.071448
0.216100,0.992177,-0.071773
0.217100,0.992105,-0.072098
0.218100,0.992033,-0.072423
