xi,theta,phi
0.199100,0.993340,-0.066433
0.200100,0.993273,-0.066763
0.201100,0.993206,-0.067092
0.202100,0.993139,-0.067421
0.203100,0.993072,-0.067750
0.204100,0.993004,-0.068080
0.205100,0.992935,-0.068409
0.206100,0.992867,-0.068738
0.207100,0.992798,-0.069067
0.208100,0.992729,-0.069396
0.209100,0.992659,-0.069725
0.210100,0.992589,-0.070054
0.211100,0.992519,-0.070382
0.212100,0.992449,-0.070711
0.213100,0.992378,-0.071040
0.214100,0.992306,-0.071369
0.215100,0.992235,-0.071697
0.216100,0.992163,-0.072026
0.217100,0.992091,-0.072355
0.218100,0.992018,-0.072683
0.219100,0.991946,-0.073012
0.220100,0.991872,-0.073340
0.221100,0.991799,-0.073669
0.222100,0.991725,-0.073997
0.223100,0.991651,-0.074326
0.224100,0.991576,-0.074654
0.225100,0.991502,-0.074982
0.226100,0.991426,-0.075310
0.227100,0.991351,-0.075638
0.228100,0.991275,-0.075967
0.229100,0.991199,-0.076295
0.230100,0.991123,-0.076623
0.231100,0.991046,-0.076951
0.232100,0.990969,-0.077279
0.233100,0.990891,-0.077607
0.234100,0.990813,-0.077934
0.235100,0.990735,-0.078262
0.236100,0.990657,-0.078590
0.237100,0.990578,-0.078918
0.238100,0.990499,-0.079245
0.239100,0.990420,-0.079573
0.240100,0.990340,-0.079900
0.241100,0.990260,-0.080228
0.242100,0.990179,-0.080555
0.243100,0.990099,-0.080883
0.244100,0.990018,-0.081210
0.245100,0.989936,-0.081538
0.246100,0.989855,-0.081865
0.247100,0.989773,-0.082192
0.248100,0.989690,-0.082519
0.249100,0.989608,-0.082846
0.250100,0.989525,-0.083173
0.251100,0.989441,-0.083500
0.252100,0.989358,-0.083827
0.253100,0.989274,-0.084154
0.254100,0.989189,-0.084481
0.255100,0.989105,-0.084808
0.256100,0.989020,-0.085135
0.257100,0.988934,-0.085462
0.258100,0.988849,-0.085788
0.259100,0.988763,-0.086115
0.260100,0.988676,-0.086441
0.261100,0.988590,-0.086768
0.262100,0.988503,-0.087094
