xi,theta,phi
0,1,0
0.000100,1.000000,-0.000175
0.001100,0.999999,-0.000644
0.002100,0.999998,-0.001007
0.003100,0.999997,-0.001352
0.004100,0.999996,-0.001690
0.005100,0.999994,-0.002027
0.006100,0.999992,-0.002362
0.007100,0.999989,-0.002696
0.008100,0.999986,-0.003030
0.009100,0.999983,-0.003364
0.010100,0.999979,-0.003698
0.011100,0.999976,-0.004031
0.012100,0.999971,-0.004365
0.013100,0.999967,-0.004699
0.014100,0.999962,-0.005032
0.015100,0.999957,-0.005365
0.016100,0.999951,-0.005699
0.017100,0.999945,-0.006032
0.018100,0.999939,-0.006365
0.019100,0.999933,-0.006699
0.020100,0.999926,-0.007032
0.021100,0.999919,-0.007365
0.022100,0.999911,-0.007699
0.023100,0.999903,-0.008032
0.024100,0.999895,-0.008365
0.025100,0.999886,-0.008698
0.026100,0.999878,-0.009032
0.027100,0.999868,-0.009365
0.028100,0.999859,-0.009698
0.029100,0.999849,-0.010031
0.030100,0.999839,-0.010364
0.031100,0.999828,-0.010697
0.032100,0.999817,-0.011030
0.033100,0.999806,-0.011363
0.034100,0.999795,-0.011697
0.035100,0.999783,-0.012030
0.036100,0.999771,-0.012363
0.037100,0.999758,-0.012696
0.038100,0.999745,-0.013029
0.039100,0.999732,-0.013362
0.040100,0.999719,-0.013695
0.041100,0.999705,-0.014028
0.042100,0.999690,-0.014361
0.043100,0.999676,-0.014693
0.044100,0.999661,-0.015026
0.045100,0.999646,-0.015359
0.046100,0.999630,-0.015692
0.047100,0.999614,-0.016025
0.048100,0.999598,-0.016358
0.049100,0.999582,-0.016690
0.050100,0.999565,-0.017023
0.051100,0.999548,-0.017356
0.052100,0.999530,-0.017689
0.053100,0.999512,-0.018021
0.054100,0.999494,-0.018354
0.055100,0.999476,-0.018687
0.056100,0.999457,-0.019019
0.057100,0.999438,-0.019352
0.058100,0.999418,-0.019684
0.059100,0.999398,-0.020017
0.060100,0.999378,-0.020350
0.061100,0.999358,-0.020682
0.062100,0.999337,-0.021014
0.063100,0.999316,-0.021347
0.064100,0.999294,-0.021679
0.065100,0.999272,-0.022012
0.066100,0.999250,-0.022344
0.067100,0.999227,-0.022676
0.068100,0.999205,-0.023009
0.069100,0.999181,-0.023341
0.070100,0.999158,-0.023673
0.071100,0.999134,-0.024005
0.072100,0.999110,-0.024337
0.073100,0.999085,-0.024669
0.074100,0.999061,-0.025002
0.075100,0.999035,-0.025334
0.076100,0.999010,-0.025666
0.077100,0.998984,-0.025998
0.078100,0.998958,-0.026330
0.079100,0.998931,-0.026661
0.080100,0.998905,-0.026993
0.081100,0.998877,-0.027325
0.082100,0.998850,-0.027657
0.083100,0.998822,-0.027989
0.084100,0.998794,-0.028320
0.085100,0.998765,-0.028652
0.086100,0.998737,-0.028984
0.087100,0.998708,-0.029315
0.088100,0.998678,-0.029647
0.089100,0.998648,-0.029979
0.090100,0.998618,-0.030310
0.091100,0.998588,-0.030641
0.092100,0.998557,-0.030973
0.093100,0.998526,-0.031304
0.094100,0.998494,-0.031636
0.095100,0.998462,-0.031967
0.096100,0.998430,-0.032298
0.097100,0.998398,-0.032629
0.098100,0.998365,-0.032960
0.099100,0.998332,-0.033292
0.100100,0.998298,-0.033623
0.101100,0.998265,-0.033954
0.102100,0.998231,-0.034285
0.103100,0.998196,-0.034616
0.104100,0.998161,-0.034946
0.105100,0.998126,-0.035277
0.106100,0.998091,-0.035608
0.107100,0.998055,-0.035939
0.108100,0.998019,-0.036269
0.109100,0.997982,-0.036600
0.110100,0.997946,-0.036931
0.111100,0.997909,-0.037261
0.112100,0.997871,-0.037592
0.113100,0.997833,-0.037922
0.114100,0.997795,-0.038253
0.115100,0.997757,-0.038583
0.116100,0.997718,-0.038913
0.117100,0.997679,-0.039243
0.118100,0.997640,-0.039574
0.119100,0.997600,-0.039904
0.120100,0.997560,-0.040234
0.121100,0.997519,-0.040564
0.122100,0.997479,-0.040894
0.123100,0.997438,-0.041224
0.124100,0.997396,-0.041554
0.125100,0.997355,-0.041883
0.126100,0.997312,-0.042213
0.127100,0.997270,-0.042543
0.128100,0.997227,-0.042872
0.129100,0.997184,-0.043202
0.130100,0.997141,-0.043531
0.131100,0.997097,-0.043861
0.132100,0.997053,-0.044190
0.133100,0.997009,-0.044520
0.134100,0.996964,-0.044849
0.135100,0.996919,-0.045178
0.136100,0.996874,-0.045507
0.137100,0.996828,-0.045836
0.138100,0.996782,-0.046165
0.139100,0.996736,-0.046494
0.140100,0.996689,-0.046823
0.141100,0.996642,-0.047152
0.142100,0.996595,-0.047481
0.143100,0.996547,-0.047810
0.144100,0.996499,-0.048138
0.145100,0.996451,-0.048467
0.146100,0.996402,-0.048795
0.147100,0.996353,-0.049124
0.148100,0.996304,-0.049452
0.149100,0.996254,-0.049781
0.150100,0.996205,-0.050109
0.151100,0.996154,-0.050437
0.152100,0.996104,-0.050765
0.153100,0.996053,-0.051093
0.154100,0.996001,-0.051421
0.155100,0.995950,-0.051749
0.156100,0.995898,-0.052077
0.157100,0.995846,-0.052405
0.158100,0.995793,-0.052732
0.159100,0.995740,-0.053060
0.160100,0.995687,-0.053388
0.161100,0.995634,-0.053715
0.162100,0.995580,-0.054043
0.163100,0.995525,-0.054370
0.164100,0.995471,-0.054697
0.165100,0.995416,-0.055024
0.166100,0.995361,-0.055352
0.167100,0.995305,-0.055679
0.168100,0.995249,-0.056006
0.169100,0.995193,-0.056333
0.170100,0.995137,-0.056659
0.171100,0.995080,-0.056986
0.172100,0.995023,-0.057313
0.173100,0.994965,-0.057639
0.174100,0.994908,-0.057966
0.175100,0.994849,-0.058292
0.176100,0.994791,-0.058619
0.177100,0.994732,-0.058945
0.178100,0.994673,-0.059271
0.179100,0.994614,-0.059597
0.180100,0.994554,-0.059923
0.181100,0.994494,-0.060249
0.182100,0.994433,-0.060575
0.183100,0.994373,-0.060901
0.184100,0.994312,-0.061227
0.185100,0.994250,-0.061553
0.186100,0.994188,-0.061878
0.187100,0.994126,-0.062204
0.188100,0.994064,-0.062529
0.189100,0.994001,-0.062854
0.190100,0.993938,-0.063180
0.191100,0.993875,-0.063505
0.192100,0.993811,-0.063830
0.193100,0.993747,-0.064155
0.194100,0.993683,-0.064480
0.195100,0.993618,-0.064804
0.196100,0.993553,-0.065129
0.197100,0.993488,-0.065454
0.198100,0.993423,-0.065778
0.199100,0.993357,-0.066103
0.200100,0.993290,-0.066427
0.201100,0.993224,-0.066751
0.202100,0.993157,-0.067076
0.203100,0.993090,-0.067400
0.204100,0.993022,-0.067724
0.205100,0.992954,-0.068048
0.206100,0.992886,-0.068372
0.207100,0.992817,-0.068695
0.208100,0.992749,-0.069019
0.209100,0.992679,-0.069342
0.210100,0.992610,-0.069666
0.211100,0.992540,-0.069989
0.212100,0.992470,-0.070313
0.213100,0.992399,-0.070636
0.214100,0.992329,-0.070959
0.215100,0.992257,-0.071282
0.216100,0.992186,-0.071605
0.217100,0.992114,-0.071928
0.218100,0.992042,-0.072250
