xi,theta,phi
0,1,0
0.000100,1.000000,-0.000175
0.001100,0.999999,-0.000644
0.002100,0.999998,-0.001007
0.003100,0.999997,-0.001352
0.004100,0.999996,-0.001690
0.005100,0.999994,-0.002027
0.006100,0.999992,-0.002362
0.007100,0.999989,-0.002696
0.008100,0.999986,-0.003030
0.009100,0.999983,-0.003364
0.010100,0.999979,-0.003698
0.011100,0.999976,-0.004031
0.012100,0.999971,-0.004365
0.013100,0.999967,-0.004699
0.014100,0.999962,-0.005032
0.015100,0.999957,-0.005365
0.016100,0.999951,-0.005699
0.017100,0.999945,-0.006032
0.018100,0.999939,-0.006365
0.019100,0.999933,-0.006699
0.020100,0.999926,-0.007032
0.021100,0.999919,-0.007365
0.022100,0.999911,-0.007699
0.023100,0.999903,-0.008032
0.024100,0.999895,-0.008365
0.025100,0.999886,-0.008698
0.026100,0.999878,-0.009031
0.027100,0.999868,-0.009365
0.028100,0.999859,-0.009698
0.029100,0.999849,-0.010031
0.030100,0.999839,-0.010364
0.031100,0.999828,-0.010697
0.032100,0.999817,-0.011030
0.033100,0.999806,-0.011363
0.034100,0.999795,-0.011696
0.035100,0.999783,-0.012029
0.036100,0.999771,-0.012362
0.037100,0.999758,-0.012695
0.038100,0.999745,-0.013028
0.039100,0.999732,-0.013361
0.040100,0.999719,-0.013694
0.041100,0.999705,-0.014027
0.042100,0.999690,-0.014360
0.043100,0.999676,-0.014693
0.044100,0.999661,-0.015026
0.045100,0.999646,-0.015358
0.046100,0.999630,-0.015691
0.047100,0.999615,-0.016024
0.048100,0.999598,-0.016357
0.049100,0.999582,-0.016689
0.050100,0.999565,-0.017022
0.051100,0.999548,-0.017355
0.052100,0.999530,-0.017687
0.053100,0.999512,-0.018020
0.054100,0.999494,-0.018353
0.055100,0.999476,-0.018685
0.056100,0.999457,-0.019018
0.057100,0.999438,-0.019350
0.058100,0.999418,-0.019683
0.059100,0.999398,-0.020015
0.060100,0.999378,-0.020348
0.061100,0.999358,-0.020680
0.062100,0.999337,-0.021012
0.063100,0.999316,-0.021345
0.064100,0.999294,-0.021677
0.065100,0.999272,-0.022009
0.066100,0.999250,-0.022341
0.067100,0.999228,-0.022674
0.068100,0.999205,-0.023006
0.069100,0.999182,-0.023338
0.070100,0.999158,-0.023670
0.071100,0.999134,-0.024002
0.072100,0.999110,-0.024334
0.073100,0.999085,-0.024666
0.074100,0.999061,-0.024998
0.075100,0.999035,-0.025330
0.076100,0.999010,-0.025662
0.077100,0.998984,-0.025994
0.078100,0.998958,-0.026325
0.079100,0.998932,-0.026657
0.080100,0.998905,-0.026989
0.081100,0.998878,-0.027321
0.082100,0.998850,-0.027652
0.083100,0.998822,-0.027984
0.084100,0.998794,-0.028315
0.085100,0.998766,-0.028647
0.086100,0.998737,-0.028978
0.087100,0.998708,-0.029310
0.088100,0.998678,-0.029641
0.089100,0.998648,-0.029972
0.090100,0.998618,-0.030304
0.091100,0.998588,-0.030635
0.092100,0.998557,-0.030966
0.093100,0.998526,-0.031297
0.094100,0.998494,-0.031628
0.095100,0.998463,-0.031959
0.096100,0.998430,-0.032290
0.097100,0.998398,-0.032621
0.098100,0.998365,-0.032952
0.099100,0.998332,-0.033283
0.100100,0.998299,-0.033614
0.101100,0.998265,-0.033945
0.102100,0.998231,-0.034275
0.103100,0.998196,-0.034606
0.104100,0.998162,-0.034937
0.105100,0.998126,-0.035267
0.106100,0.998091,-0.035598
0.107100,0.998055,-0.035928
0.108100,0.998019,-0.036259
0.109100,0.997983,-0.036589
0.110100,0.997946,-0.036919
0.111100,0.997909,-0.037250
0.112100,0.997871,-0.037580
0.113100,0.997834,-0.037910
0.114100,0.997796,-0.038240
0.115100,0.997757,-0.038570
0.116100,0.997719,-0.038900
0.117100,0.997679,-0.039230
0.118100,0.997640,-0.039560
0.119100,0.997600,-0.039889
0.120100,0.997560,-0.040219
0.121100,0.997520,-0.040549
0.122100,0.997479,-0.040878
0.123100,0.997438,-0.041208
0.124100,0.997397,-0.041537
0.125100,0.997355,-0.041867
0.126100,0.997313,-0.042196
0.127100,0.997271,-0.042525
0.128100,0.997228,-0.042855
0.129100,0.997185,-0.043184
0.130100,0.997142,-0.043513
0.131100,0.997098,-0.043842
0.132100,0.997054,-0.044171
0.133100,0.997010,-0.044500
0.134100,0.996965,-0.044829
0.135100,0.996920,-0.045157
0.136100,0.996875,-0.045486
0.137100,0.996829,-0.045815
0.138100,0.996783,-0.046143
0.139100,0.996737,-0.046472
0.140100,0.996690,-0.046800
0.141100,0.996643,-0.047128
0.142100,0.996596,-0.047457
0.143100,0.996548,-0.047785
0.144100,0.996500,-0.048113
0.145100,0.996452,-0.048441
0.146100,0.996403,-0.048769
0.147100,0.996354,-0.049097
0.148100,0.996305,-0.049425
0.149100,0.996256,-0.049753
0.150100,0.996206,-0.050080
0.151100,0.996155,-0.050408
0.152100,0.996105,-0.050736
0.153100,0.996054,-0.051063
0.154100,0.996003,-0.051390
0.155100,0.995951,-0.051718
0.156100,0.995899,-0.052045
0.157100,0.995847,-0.052372
0.158100,0.995795,-0.052699
0.159100,0.995742,-0.053026
0.160100,0.995688,-0.053353
0.161100,0.995635,-0.053680
0.162100,0.995581,-0.054007
0.163100,0.995527,-0.054334
0.164100,0.995472,-0.054660
0.165100,0.995418,-0.054987
0.166100,0.995362,-0.055313
0.167100,0.995307,-0.055639
0.168100,0.995251,-0.055966
0.169100,0.995195,-0.056292
0.170100,0.995139,-0.056618
0.171100,0.995082,-0.056944
0.172100,0.995025,-0.057270
0.173100,0.994967,-0.057596
0.174100,0.994910,-0.057922
0.175100,0.994851,-0.058247
0.176100,0.994793,-0.058573
0.177100,0.994734,-0.058899
0.178100,0.994675,-0.059224
0.179100,0.994616,-0.059549
0.180100,0.994556,-0.059875
0.181100,0.994496,-0.060200
0.182100,0.994436,-0.060525
0.183100,0.994375,-0.060850
0.184100,0.994314,-0.061175
0.185100,0.994253,-0.061500
0.186100,0.994191,-0.061824
0.187100,0.994129,-0.062149
0.188100,0.994067,-0.062473
0.189100,0.994004,-0.062798
0.190100,0.993941,-0.063122
0.191100,0.993878,-0.063446
0.192100,0.993814,-0.063771
0.193100,0.993750,-0.064095
0.194100,0.993686,-0.064419
0.195100,0.993621,-0.064743
0.196100,0.993557,-0.065066
0.197100,0.993491,-0.065390
0.198100,0.993426,-0.065714
0.199100,0.993360,-0.066037
0.200100,0.993294,-0.066360
0.201100,0.993227,-0.066684
0.202100,0.993160,-0.067007
0.203100,0.993093,-0.067330
0.204100,0.993026,-0.067653
0.205100,0.992958,-0.067976
0.206100,0.992890,-0.068299
0.207100,0.992821,-0.068621
0.208100,0.992752,-0.068944
0.209100,0.992683,-0.069267
0.210100,0.992614,-0.069589
0.211100,0.992544,-0.069911
0.212100,0.992474,-0.070233
0.213100,0.992404,-0.070555
0.214100,0.992333,-0.070877
0.215100,0.992262,-0.071199
0.216100,0.992191,-0.071521
0.217100,0.992119,-0.071843
0.218100,0.992047,-0.072164
