xi,theta,phi
0,1,0
0.000100,1.000000,-0.000175
0.001100,0.999999,-0.000644
0.002100,0.999998,-0.001007
0.003100,0.999997,-0.001352
0.004100,0.999996,-0.001690
0.005100,0.999994,-0.002027
0.006100,0.999992,-0.002362
0.007100,0.999989,-0.002696
0.008100,0.999986,-0.003030
0.009100,0.999983,-0.003364
0.010100,0.999979,-0.003698
0.011100,0.999976,-0.004032
0.012100,0.999971,-0.004365
0.013100,0.999967,-0.004699
0.014100,0.999962,-0.005032
0.015100,0.999957,-0.005365
0.016100,0.999951,-0.005699
0.017100,0.999945,-0.006032
0.018100,0.999939,-0.006366
0.019100,0.999933,-0.006699
0.020100,0.999926,-0.007032
0.021100,0.999919,-0.007366
0.022100,0.999911,-0.007699
0.023100,0.999903,-0.008032
0.024100,0.999895,-0.008365
0.025100,0.999886,-0.008699
0.026100,0.999878,-0.009032
0.027100,0.999868,-0.009365
0.028100,0.999859,-0.009698
0.029100,0.999849,-0.010032
0.030100,0.999839,-0.010365
0.031100,0.999828,-0.010698
0.032100,0.999817,-0.011031
0.033100,0.999806,-0.011364
0.034100,0.999795,-0.011698
0.035100,0.999783,-0.012031
0.036100,0.999771,-0.012364
0.037100,0.999758,-0.012697
0.038100,0.999745,-0.013030
0.039100,0.999732,-0.013363
0.040100,0.999718,-0.013696
0.041100,0.999705,-0.014029
0.042100,0.999690,-0.014363
0.043100,0.999676,-0.014696
0.044100,0.999661,-0.015029
0.045100,0.999646,-0.015362
0.046100,0.999630,-0.015695
0.047100,0.999614,-0.016028
0.048100,0.999598,-0.016361
0.049100,0.999582,-0.016694
0.050100,0.999565,-0.017027
0.051100,0.999548,-0.017360
0.052100,0.999530,-0.017692
0.053100,0.999512,-0.018025
0.054100,0.999494,-0.018358
0.055100,0.999476,-0.018691
0.056100,0.999457,-0.019024
0.057100,0.999438,-0.019357
0.058100,0.999418,-0.019690
0.059100,0.999398,-0.020022
0.060100,0.999378,-0.020355
0.061100,0.999357,-0.020688
0.062100,0.999337,-0.021021
0.063100,0.999315,-0.021353
0.064100,0.999294,-0.021686
0.065100,0.999272,-0.022019
0.066100,0.999250,-0.022352
0.067100,0.999227,-0.022684
0.068100,0.999204,-0.023017
0.069100,0.999181,-0.023349
0.070100,0.999158,-0.023682
0.071100,0.999134,-0.024015
0.072100,0.999110,-0.024347
0.073100,0.999085,-0.024680
0.074100,0.999060,-0.025012
0.075100,0.999035,-0.025345
0.076100,0.999010,-0.025677
0.077100,0.998984,-0.026009
0.078100,0.998958,-0.026342
0.079100,0.998931,-0.026674
0.080100,0.998904,-0.027007
0.081100,0.998877,-0.027339
0.082100,0.998850,-0.027671
0.083100,0.998822,-0.028004
0.084100,0.998794,-0.028336
0.085100,0.998765,-0.028668
0.086100,0.998736,-0.029000
0.087100,0.998707,-0.029332
0.088100,0.998678,-0.029665
0.089100,0.998648,-0.029997
0.090100,0.998618,-0.030329
0.091100,0.998587,-0.030661
0.092100,0.998556,-0.030993
0.093100,0.998525,-0.031325
0.094100,0.998494,-0.031657
0.095100,0.998462,-0.031989
0.096100,0.998430,-0.032321
0.097100,0.998397,-0.032653
0.098100,0.998364,-0.032985
0.099100,0.998331,-0.033317
0.100100,0.998298,-0.033648
0.101100,0.998264,-0.033980
0.102100,0.998230,-0.034312
0.103100,0.998195,-0.034644
0.104100,0.998161,-0.034975
0.105100,0.998125,-0.035307
0.106100,0.998090,-0.035639
0.107100,0.998054,-0.035970
0.108100,0.998018,-0.036302
0.109100,0.997982,-0.036633
0.110100,0.997945,-0.036965
0.111100,0.997908,-0.037296
0.112100,0.997870,-0.037628
0.113100,0.997832,-0.037959
0.114100,0.997794,-0.038290
0.115100,0.997756,-0.038622
0.116100,0.997717,-0.038953
0.117100,0.997678,-0.039284
0.118100,0.997638,-0.039616
0.119100,0.997599,-0.039947
0.120100,0.997558,-0.040278
0.121100,0.997518,-0.040609
0.122100,0.997477,-0.040940
0.123100,0.997436,-0.041271
0.124100,0.997395,-0.041602
0.125100,0.997353,-0.041933
0.126100,0.997311,-0.042264
0.127100,0.997268,-0.042595
0.128100,0.997226,-0.042926
0.129100,0.997183,-0.043257
0.130100,0.997139,-0.043587
0.131100,0.997095,-0.043918
0.132100,0.997051,-0.044249
0.133100,0.997007,-0.044580
0.134100,0.996962,-0.044910
0.135100,0.996917,-0.045241
0.136100,0.996872,-0.045571
0.137100,0.996826,-0.045902
0.138100,0.996780,-0.046232
0.139100,0.996733,-0.046563
0.140100,0.996687,-0.046893
0.141100,0.996640,-0.047223
0.142100,0.996592,-0.047554
0.143100,0.996545,-0.047884
0.144100,0.996497,-0.048214
0.145100,0.996448,-0.048544
0.146100,0.996399,-0.048874
0.147100,0.996350,-0.049205
0.148100,0.996301,-0.049535
0.149100,0.996251,-0.049865
0.150100,0.996201,-0.050194
0.151100,0.996151,-0.050524
0.152100,0.996100,-0.050854
0.153100,0.996049,-0.051184
0.154100,0.995998,-0.051514
0.155100,0.995946,-0.051844
0.156100,0.995894,-0.052173
0.157100,0.995842,-0.052503
0.158100,0.995789,-0.052832
0.159100,0.995736,-0.053162
0.160100,0.995683,-0.053491
0.161100,0.995629,-0.053821
0.162100,0.995575,-0.054150
0.163100,0.995521,-0.054480
0.164100,0.995466,-0.054809
0.165100,0.995411,-0.055138
0.166100,0.995356,-0.055467
0.167100,0.995300,-0.055796
0.168100,0.995244,-0.056125
0.169100,0.995188,-0.056455
0.170100,0.995131,-0.056783
0.171100,0.995075,-0.057112
0.172100,0.995017,-0.057441
0.173100,0.994960,-0.057770
0.174100,0.994902,-0.058099
0.175100,0.994843,-0.058428
0.176100,0.994785,-0.058756
0.177100,0.994726,-0.059085
0.178100,0.994667,-0.059414
0.179100,0.994607,-0.059742
0.180100,0.994547,-0.060070
0.181100,0.994487,-0.060399
0.182100,0.994426,-0.060727
0.183100,0.994366,-0.061056
0.184100,0.994304,-0.061384
0.185100,0.994243,-0.061712
0.186100,0.994181,-0.062040
0.187100,0.994119,-0.062368
0.188100,0.994056,-0.062696
0.189100,0.993993,-0.063024
0.190100,0.993930,-0.063352
0.191100,0.993867,-0.063680
0.192100,0.993803,-0.064008
0.193100,0.993739,-0.064336
0.194100,0.993674,-0.064663
0.195100,0.993609,-0.064991
0.196100,0.993544,-0.065318
0.197100,0.993479,-0.065646
0.198100,0.993413,-0.065973
0.199100,0.993347,-0.066301
0.200100,0.993280,-0.066628
0.201100,0.993213,-0.066955
0.202100,0.993146,-0.067283
0.203100,0.993079,-0.067610
0.204100,0.993011,-0.067937
0.205100,0.992943,-0.068264
0.206100,0.992875,-0.068591
0.207100,0.992806,-0.068918
0.208100,0.992737,-0.069245
0.209100,0.992667,-0.069571
0.210100,0.992598,-0.069898
0.211100,0.992528,-0.070225
0.212100,0.992457,-0.070551
0.213100,0.992386,-0.070878
0.214100,0.992315,-0.071204
0.215100,0.992244,-0.071531
0.216100,0.992172,-0.071857
0.217100,0.992100,-0.072183
0.218100,0.992028,-0.072510
