xi,theta,phi
0,1,0
0.000100,1.000000,-0.000175
0.001100,0.999999,-0.000644
0.002100,0.999998,-0.001007
0.003100,0.999997,-0.001352
0.004100,0.999996,-0.001690
0.005100,0.999994,-0.002027
0.006100,0.999992,-0.002362
0.007100,0.999989,-0.002696
0.008100,0.999986,-0.003030
0.009100,0.999983,-0.003364
0.010100,0.999979,-0.003698
0.011100,0.999976,-0.004031
0.012100,0.999971,-0.004365
0.013100,0.999967,-0.004698
0.014100,0.999962,-0.005032
0.015100,0.999957,-0.005365
0.016100,0.999951,-0.005699
0.017100,0.999945,-0.006032
0.018100,0.999939,-0.006365
0.019100,0.999933,-0.006699
0.020100,0.999926,-0.007032
0.021100,0.999919,-0.007365
0.022100,0.999911,-0.007698
0.023100,0.999903,-0.008032
0.024100,0.999895,-0.008365
0.025100,0.999886,-0.008698
0.026100,0.999878,-0.009031
0.027100,0.999868,-0.009364
0.028100,0.999859,-0.009697
0.029100,0.999849,-0.010030
0.030100,0.999839,-0.010363
0.031100,0.999828,-0.010696
0.032100,0.999817,-0.011029
0.033100,0.999806,-0.011362
0.034100,0.999795,-0.011695
0.035100,0.999783,-0.012028
0.036100,0.999771,-0.012361
0.037100,0.999758,-0.012694
0.038100,0.999745,-0.013027
0.039100,0.999732,-0.013360
0.040100,0.999719,-0.013693
0.041100,0.999705,-0.014026
0.042100,0.999690,-0.014359
0.043100,0.999676,-0.014691
0.044100,0.999661,-0.015024
0.045100,0.999646,-0.015357
0.046100,0.999630,-0.015689
0.047100,0.999615,-0.016022
0.048100,0.999598,-0.016355
0.049100,0.999582,-0.016687
0.050100,0.999565,-0.017020
0.051100,0.999548,-0.017352
0.052100,0.999530,-0.017685
0.053100,0.999512,-0.018017
0.054100,0.999494,-0.018350
0.055100,0.999476,-0.018682
0.056100,0.999457,-0.019015
0.057100,0.999438,-0.019347
0.058100,0.999418,-0.019679
0.059100,0.999398,-0.020012
0.060100,0.999378,-0.020344
0.061100,0.999358,-0.020676
0.062100,0.999337,-0.021008
0.063100,0.999316,-0.021340
0.064100,0.999294,-0.021672
0.065100,0.999272,-0.022004
0.066100,0.999250,-0.022336
0.067100,0.999228,-0.022668
0.068100,0.999205,-0.023000
0.069100,0.999182,-0.023332
0.070100,0.999158,-0.023664
0.071100,0.999134,-0.023996
0.072100,0.999110,-0.024328
0.073100,0.999086,-0.024659
0.074100,0.999061,-0.024991
0.075100,0.999036,-0.025323
0.076100,0.999010,-0.025654
0.077100,0.998984,-0.025986
0.078100,0.998958,-0.026317
0.079100,0.998932,-0.026649
0.080100,0.998905,-0.026980
0.081100,0.998878,-0.027311
0.082100,0.998850,-0.027643
0.083100,0.998822,-0.027974
0.084100,0.998794,-0.028305
0.085100,0.998766,-0.028636
0.086100,0.998737,-0.028967
0.087100,0.998708,-0.029298
0.088100,0.998678,-0.029629
0.089100,0.998649,-0.029960
0.090100,0.998619,-0.030291
0.091100,0.998588,-0.030622
0.092100,0.998557,-0.030953
0.093100,0.998526,-0.031283
0.094100,0.998495,-0.031614
0.095100,0.998463,-0.031945
0.096100,0.998431,-0.032275
0.097100,0.998398,-0.032606
0.098100,0.998366,-0.032936
0.099100,0.998333,-0.033267
0.100100,0.998299,-0.033597
0.101100,0.998265,-0.033927
0.102100,0.998231,-0.034257
0.103100,0.998197,-0.034587
0.104100,0.998162,-0.034918
0.105100,0.998127,-0.035248
0.106100,0.998092,-0.035577
0.107100,0.998056,-0.035907
0.108100,0.998020,-0.036237
0.109100,0.997983,-0.036567
0.110100,0.997947,-0.036897
0.111100,0.997910,-0.037226
0.112100,0.997872,-0.037556
0.113100,0.997834,-0.037885
0.114100,0.997796,-0.038215
0.115100,0.997758,-0.038544
0.116100,0.997719,-0.038873
0.117100,0.997680,-0.039202
0.118100,0.997641,-0.039532
0.119100,0.997601,-0.039861
0.120100,0.997561,-0.040190
0.121100,0.997521,-0.040519
0.122100,0.997480,-0.040847
0.123100,0.997439,-0.041176
0.124100,0.997398,-0.041505
0.125100,0.997356,-0.041834
0.126100,0.997314,-0.042162
0.127100,0.997272,-0.042491
0.128100,0.997229,-0.042819
0.129100,0.997186,-0.043147
0.130100,0.997143,-0.043476
0.131100,0.997099,-0.043804
0.132100,0.997055,-0.044132
0.133100,0.997011,-0.044460
0.134100,0.996966,-0.044788
0.135100,0.996921,-0.045116
0.136100,0.996876,-0.045443
0.137100,0.996830,-0.045771
0.138100,0.996785,-0.046099
0.139100,0.996738,-0.046426
0.140100,0.996692,-0.046754
0.141100,0.996645,-0.047081
0.142100,0.996598,-0.047408
0.143100,0.996550,-0.047736
0.144100,0.996502,-0.048063
0.145100,0.996454,-0.048390
0.146100,0.996405,-0.048717
0.147100,0.996356,-0.049043
0.148100,0.996307,-0.049370
0.149100,0.996258,-0.049697
0.150100,0.996208,-0.050023
0.151100,0.996158,-0.050350
0.152100,0.996107,-0.050676
0.153100,0.996056,-0.051003
0.154100,0.996005,-0.051329
0.155100,0.995954,-0.051655
0.156100,0.995902,-0.051981
0.157100,0.995850,-0.052307
0.158100,0.995797,-0.052633
0.159100,0.995744,-0.052959
0.160100,0.995691,-0.053284
0.161100,0.995638,-0.053610
0.162100,0.995584,-0.053935
0.163100,0.995530,-0.054261
0.164100,0.995476,-0.054586
0.165100,0.995421,-0.054911
0.166100,0.995366,-0.055236
0.167100,0.995310,-0.055561
0.168100,0.995255,-0.055886
0.169100,0.995199,-0.056211
0.170100,0.995142,-0.056536
0.171100,0.995085,-0.056860
0.172100,0.995028,-0.057185
0.173100,0.994971,-0.057509
0.174100,0.994913,-0.057834
0.175100,0.994855,-0.058158
0.176100,0.994797,-0.058482
0.177100,0.994738,-0.058806
0.178100,0.994679,-0.059130
0.179100,0.994620,-0.059453
0.180100,0.994561,-0.059777
0.181100,0.994501,-0.060101
0.182100,0.994440,-0.060424
0.183100,0.994380,-0.060747
0.184100,0.994319,-0.061071
0.185100,0.994258,-0.061394
0.186100,0.994196,-0.061717
0.187100,0.994134,-0.062040
0.188100,0.994072,-0.062363
0.189100,0.994009,-0.062685
0.190100,0.993947,-0.063008
0.191100,0.993883,-0.063330
0.192100,0.993820,-0.063653
0.193100,0.993756,-0.063975
0.194100,0.993692,-0.064297
0.195100,0.993628,-0.064619
0.196100,0.993563,-0.064941
0.197100,0.993498,-0.065263
0.198100,0.993432,-0.065584
0.199100,0.993367,-0.065906
0.200100,0.993300,-0.066227
0.201100,0.993234,-0.066549
0.202100,0.993167,-0.066870
0.203100,0.993100,-0.067191
0.204100,0.993033,-0.067512
0.205100,0.992965,-0.067833
0.206100,0.992897,-0.068154
0.207100,0.992829,-0.068474
0.208100,0.992760,-0.068795
0.209100,0.992691,-0.069115
0.210100,0.992622,-0.069435
0.211100,0.992553,-0.069755
0.212100,0.992483,-0.070075
0.213100,0.992412,-0.070395
0.214100,0.992342,-0.070715
0.215100,0.992271,-0.071035
0.216100,0.992200,-0.071354
0.217100,0.992128,-0.071674
0.218100,0.992056,-0.071993
