xi,theta,phi
0,1,0
0.000100,1.000000,-0.000175
0.001100,0.999999,-0.000644
0.002100,0.999998,-0.001007
0.003100,0.999997,-0.001352
0.004100,0.999996,-0.001690
0.005100,0.999994,-0.002027
0.006100,0.999992,-0.002362
0.007100,0.999989,-0.002696
0.008100,0.999986,-0.003030
0.009100,0.999983,-0.003364
0.010100,0.999979,-0.003698
0.011100,0.999976,-0.004031
0.012100,0.999971,-0.004365
0.013100,0.999967,-0.004698
0.014100,0.999962,-0.005032
0.015100,0.999957,-0.005365
0.016100,0.999951,-0.005699
0.017100,0.999945,-0.006032
0.018100,0.999939,-0.006365
0.019100,0.999933,-0.006699
0.020100,0.999926,-0.007032
0.021100,0.999919,-0.007365
0.022100,0.999911,-0.007698
0.023100,0.999903,-0.008032
0.024100,0.999895,-0.008365
0.025100,0.999886,-0.008698
0.026100,0.999878,-0.009031
0.027100,0.999868,-0.009364
0.028100,0.999859,-0.009697
0.029100,0.999849,-0.010031
0.030100,0.999839,-0.010364
0.031100,0.999828,-0.010697
0.032100,0.999817,-0.011030
0.033100,0.999806,-0.011363
0.034100,0.999795,-0.011696
0.035100,0.999783,-0.012029
0.036100,0.999771,-0.012362
0.037100,0.999758,-0.012695
0.038100,0.999745,-0.013028
0.039100,0.999732,-0.013361
0.040100,0.999719,-0.013693
0.041100,0.999705,-0.014026
0.042100,0.999690,-0.014359
0.043100,0.999676,-0.014692
0.044100,0.999661,-0.015025
0.045100,0.999646,-0.015358
0.046100,0.999630,-0.015690
0.047100,0.999615,-0.016023
0.048100,0.999598,-0.016356
0.049100,0.999582,-0.016688
0.050100,0.999565,-0.017021
0.051100,0.999548,-0.017354
0.052100,0.999530,-0.017686
0.053100,0.999512,-0.018019
0.054100,0.999494,-0.018351
0.055100,0.999476,-0.018684
0.056100,0.999457,-0.019016
0.057100,0.999438,-0.019349
0.058100,0.999418,-0.019681
0.059100,0.999398,-0.020013
0.060100,0.999378,-0.020346
0.061100,0.999358,-0.020678
0.062100,0.999337,-0.021010
0.063100,0.999316,-0.021342
0.064100,0.999294,-0.021675
0.065100,0.999272,-0.022007
0.066100,0.999250,-0.022339
0.067100,0.999228,-0.022671
0.068100,0.999205,-0.023003
0.069100,0.999182,-0.023335
0.070100,0.999158,-0.023667
0.071100,0.999134,-0.023999
0.072100,0.999110,-0.024331
0.073100,0.999086,-0.024663
0.074100,0.999061,-0.024995
0.075100,0.999036,-0.025326
0.076100,0.999010,-0.025658
0.077100,0.998984,-0.025990
0.078100,0.998958,-0.026321
0.079100,0.998932,-0.026653
0.080100,0.998905,-0.026984
0.081100,0.998878,-0.027316
0.082100,0.998850,-0.027647
0.083100,0.998822,-0.027979
0.084100,0.998794,-0.028310
0.085100,0.998766,-0.028642
0.086100,0.998737,-0.028973
0.087100,0.998708,-0.029304
0.088100,0.998678,-0.029635
0.089100,0.998649,-0.029966
0.090100,0.998618,-0.030297
0.091100,0.998588,-0.030628
0.092100,0.998557,-0.030959
0.093100,0.998526,-0.031290
0.094100,0.998495,-0.031621
0.095100,0.998463,-0.031952
0.096100,0.998431,-0.032283
0.097100,0.998398,-0.032614
0.098100,0.998365,-0.032944
0.099100,0.998332,-0.033275
0.100100,0.998299,-0.033605
0.101100,0.998265,-0.033936
0.102100,0.998231,-0.034266
0.103100,0.998197,-0.034597
0.104100,0.998162,-0.034927
0.105100,0.998127,-0.035257
0.106100,0.998091,-0.035588
0.107100,0.998056,-0.035918
0.108100,0.998019,-0.036248
0.109100,0.997983,-0.036578
0.110100,0.997946,-0.036908
0.111100,0.997909,-0.037238
0.112100,0.997872,-0.037568
0.113100,0.997834,-0.037898
0.114100,0.997796,-0.038227
0.115100,0.997758,-0.038557
0.116100,0.997719,-0.038887
0.117100,0.997680,-0.039216
0.118100,0.997640,-0.039546
0.119100,0.997601,-0.039875
0.120100,0.997561,-0.040204
0.121100,0.997520,-0.040534
0.122100,0.997480,-0.040863
0.123100,0.997439,-0.041192
0.124100,0.997397,-0.041521
0.125100,0.997356,-0.041850
0.126100,0.997314,-0.042179
0.127100,0.997271,-0.042508
0.128100,0.997229,-0.042837
0.129100,0.997186,-0.043165
0.130100,0.997142,-0.043494
0.131100,0.997099,-0.043823
0.132100,0.997055,-0.044151
0.133100,0.997010,-0.044480
0.134100,0.996966,-0.044808
0.135100,0.996921,-0.045136
0.136100,0.996875,-0.045465
0.137100,0.996830,-0.045793
0.138100,0.996784,-0.046121
0.139100,0.996737,-0.046449
0.140100,0.996691,-0.046777
0.141100,0.996644,-0.047105
0.142100,0.996597,-0.047432
0.143100,0.996549,-0.047760
0.144100,0.996501,-0.048088
0.145100,0.996453,-0.048415
0.146100,0.996404,-0.048743
0.147100,0.996355,-0.049070
0.148100,0.996306,-0.049398
0.149100,0.996257,-0.049725
0.150100,0.996207,-0.050052
0.151100,0.996156,-0.050379
0.152100,0.996106,-0.050706
0.153100,0.996055,-0.051033
0.154100,0.996004,-0.051360
0.155100,0.995952,-0.051686
0.156100,0.995901,-0.052013
0.157100,0.995848,-0.052340
0.158100,0.995796,-0.052666
0.159100,0.995743,-0.052992
0.160100,0.995690,-0.053319
0.161100,0.995636,-0.053645
0.162100,0.995583,-0.053971
0.163100,0.995528,-0.054297
0.164100,0.995474,-0.054623
0.165100,0.995419,-0.054949
0.166100,0.995364,-0.055275
0.167100,0.995309,-0.055600
0.168100,0.995253,-0.055926
0.169100,0.995197,-0.056251
0.170100,0.995140,-0.056577
0.171100,0.995084,-0.056902
0.172100,0.995027,-0.057227
0.173100,0.994969,-0.057553
0.174100,0.994911,-0.057878
0.175100,0.994853,-0.058203
0.176100,0.994795,-0.058527
0.177100,0.994736,-0.058852
0.178100,0.994677,-0.059177
0.179100,0.994618,-0.059501
0.180100,0.994558,-0.059826
0.181100,0.994498,-0.060150
0.182100,0.994438,-0.060474
0.183100,0.994377,-0.060799
0.184100,0.994316,-0.061123
0.185100,0.994255,-0.061447
0.186100,0.994194,-0.061770
0.187100,0.994132,-0.062094
0.188100,0.994069,-0.062418
0.189100,0.994007,-0.062742
0.190100,0.993944,-0.063065
0.191100,0.993881,-0.063388
0.192100,0.993817,-0.063712
0.193100,0.993753,-0.064035
0.194100,0.993689,-0.064358
0.195100,0.993625,-0.064681
0.196100,0.993560,-0.065004
0.197100,0.993495,-0.065326
0.198100,0.993429,-0.065649
0.199100,0.993363,-0.065971
0.200100,0.993297,-0.066294
0.201100,0.993231,-0.066616
0.202100,0.993164,-0.066938
0.203100,0.993097,-0.067260
0.204100,0.993029,-0.067582
0.205100,0.992962,-0.067904
0.206100,0.992894,-0.068226
0.207100,0.992825,-0.068548
0.208100,0.992756,-0.068869
0.209100,0.992687,-0.069191
0.210100,0.992618,-0.069512
0.211100,0.992548,-0.069833
0.212100,0.992478,-0.070154
0.213100,0.992408,-0.070475
0.214100,0.992337,-0.070796
0.215100,0.992266,-0.071117
0.216100,0.992195,-0.071438
0.217100,0.992124,-0.071758
0.218100,0.992052,-0.072078
