massa,raggio
3.05779e+30,32779.1
3.05809e+30,32778
3.05839e+30,32776.9
3.05868e+30,32775.9
3.05898e+30,32774.8
3.05928e+30,32773.7
3.05958e+30,32772.7
3.05988e+30,32771.6
3.06018e+30,32770.5
3.06047e+30,32769.5
3.06077e+30,32768.4
3.06107e+30,32767.3
3.06137e+30,32766.3
3.06167e+30,32765.2
3.06197e+30,32764.1
3.06226e+30,32763.1
3.06256e+30,32762
3.06286e+30,32761
3.06316e+30,32759.9
3.06346e+30,32758.8
3.06376e+30,32757.8
3.06405e+30,32756.7
3.06435e+30,32755.6
3.06465e+30,32754.6
3.06495e+30,32753.5
3.06525e+30,32752.4
3.06555e+30,32751.4
3.06584e+30,32750.3
3.06614e+30,32749.3
3.06644e+30,32748.2
3.06674e+30,32747.1
3.06704e+30,32746.1
3.06734e+30,32745
3.06763e+30,32744
3.06793e+30,32742.9
3.06823e+30,32741.8
3.06853e+30,32740.8
3.06883e+30,32739.7
3.06913e+30,32738.6
3.06942e+30,32737.6
3.06972e+30,32736.5
3.07002e+30,32735.5
3.07032e+30,32734.4
3.07062e+30,32733.3
3.07092e+30,32732.3
3.07121e+30,32731.2
3.07151e+30,32730.2
3.07181e+30,32729.1
3.07211e+30,32728
3.07241e+30,32727
3.07271e+30,32725.9
3.073e+30,32724.9
3.0733e+30,32723.8
3.0736e+30,32722.7
3.0739e+30,32721.7
3.0742e+30,32720.6
3.0745e+30,32719.6
3.0748e+30,32718.5
3.07509e+30,32717.5
3.07539e+30,32716.4
3.07569e+30,32715.3
3.07599e+30,32714.3
3.07629e+30,32713.2
3.07659e+30,32712.2
3.07688e+30,32711.1
3.07718e+30,32710.1
3.07748e+30,32709
3.07778e+30,32707.9
3.07808e+30,32706.9
3.07838e+30,32705.8
3.07867e+30,32704.8
3.07897e+30,32703.7
3.07927e+30,32702.7
3.07957e+30,32701.6
3.07987e+30,32700.5
3.08017e+30,32699.5
3.08046e+30,32698.4
3.08076e+30,32697.4
